name,position,link
Արթուր Արտուշի Սահակյան,Դեկան,/user/199
Դավիթ Մելսի Մինասյան,Գրասենյակի ղեկավար-դեկանի տեղակալ,/user/990
Վարուժան Սերյոժայի Աթաբեկյան,"Ամբիոնի վարիչ, պրոֆեսոր",/user/221
Կարեն Լարիկի Ավետիսյան,"Ամբիոնի վարիչ, պրոֆեսոր",/user/204
Կարինե Ռուբենի Ավետիսյան,"Ամբիոնի վարիչ, դոցենտ",/user/65
Խաչատուր Աղավարդի Խաչատրյան,"Ամբիոնի վարիչ, պրոֆեսոր",/user/215
Յուրի Մովսեսի Մովսիսյան,Ամբիոնի պատվավոր վարիչ,/user/222
Սամվել Հակոբի Ջիլավյան,"Ամբիոնի վարիչ, դոցենտ",/user/134
Վիկտոր Կարոյի Օհանյան,"Ամբիոնի վարիչ, պրոֆեսոր",/user/129
Ռաֆիկ Հրաչիկի Արամյան,Պրոֆեսոր,/user/2447
Վանյա Ռաֆայելի Բարսեղյան,Պրոֆեսոր,/user/137
Վասակ Հովհաննեսի Թորոյան,Պրոֆեսոր,/user/3077
Գրիգորի Արտաշեսի Կարագուլյան,Պրոֆեսոր,/user/213
Տիգրան Ներսեսի Հարությունյան,Պրոֆեսոր,/user/211
Նարինե Գևորգի Ահարոնյան,Դոցենտ,/user/128
Ալեքսան Զավենի Առաքելյան,Դոցենտ,/user/2468
Կարեն Վահանի Գասպարյան,Դոցենտ,/user/226
Բագրատ Պարույրի Գեղամյան,Դոցենտ,/user/1188
Անահիտ Գևորգի Գուլյան,Դոցենտ,/user/66
Ալեքսանդր Արամայիսի Դավթյան,Դոցենտ,/user/201
Սերգեյ Ստեփանի Դավիդով,Դոցենտ,/user/224
Անահիտ Սեբոյի Խաչատրյան,Դոցենտ,/user/2030
Տիգրան Զավենի Խաչիկյան,Դոցենտ,/user/127
Գուրգեն Սահակի Հակոբյան,Դոցենտ,/user/3100
Արամ Գագիկի Մաթևոսյան,Դոցենտ,/user/136
Մհեր Սոսի Մարտիրոսյան,Դոցենտ,/user/3092
Նարինե Էդուարդի Միրզախանյան,Դոցենտ,/user/220
Գագիկ Վազգենի Միքայելյան,Դոցենտ,/user/206
Սահակ Մերուժանի Նարիմանյան,Դոցենտ,/user/227
Վահրամ Անդրանիկի Ներսեսյան,Դոցենտ,/user/219
Սմբատ Գրիգորի Շահինյան,Դոցենտ,/user/135
Միքայել Պողոսի Պողոսյան,Դոցենտ,/user/207
Սպարտակ Գևորգի Ռաֆայելյան,Դոցենտ,/user/210
Կարեն Պայքարի Սահակյան,Դոցենտ,/user/200
Թամարա Ալեքսանի Սիմոնյան,Դոցենտ,/user/133
Էդմոնդ Էդիկի Վարդումյան,Դոցենտ,/user/2474
Վարդան Արշալույսի Փիլիպոսյան,Դոցենտ,/user/225
Աղասի Վաչագանի Քերոբյան,Դոցենտ,/user/1189
Հակոբ Հմայակի Օհնիկյան,Դոցենտ,/user/223
Վարդան Գևորգի Բարդախչյան,Ասիստենտ,/user/3089
Կարինե Անդրանիկի Գալստյան,Ասիստենտ,/user/2128
Գուրգեն Աղասու Գասպարյան,Ասիստենտ,/user/67
Նելլի Թաթուլի Գափոյան,Ասիստենտ,/user/2714
Նունե Գեղամի Գևորգյան,Ասիստենտ,/user/3084
Ֆելիքս Վարդանի Հայրապետյան,Ասիստենտ,/user/3235
Լուսինե Դավթի Պողոսյան,Ասիստենտ,/user/216
Ներսես Վիլյամի Սրապիոնյան,Ասիստենտ,/user/218
Արմեն Աշոտի Վաղարշակյան,Ասիստենտ,/user/2675
Կարեն Ալեքսանդրի Քեռյան,Ասիստենտ,/user/209
Հայկ Գագիկի Ալեքսանյան,դասախոս/ժամավճարով,/user/2831
Սարգիս Հակոբի Ալեքսանյան,դասախոս/ժամավճարով,/user/2539
Էդվարդ Իշխանի Այվազյան,դասախոս/ժամավճարով,/user/205
Էլեն Արթուրի Անդրեասյան,դասախոս/ժամավճարով,/user/2708
Ավետիք Գենիայի Առաքելյան,դասախոս/ժամավճարով,/user/3588
Լիլիթ Կարենի Ավետիսյան,դասախոս/ժամավճարով,/user/3211
Վարդան Սարիբեկի Արամյան,դասախոս/ժամավճարով,/user/3435
Արման Մանվելի Բաբայան,դասախոս/ժամավճարով,/user/3088
Տիգրան Կարենի Բաքարյան,դասախոս/ժամավճարով,/user/3503
Արմեն Երվանդի Գաբրիելյան,դասախոս/ժամավճարով,/user/1560
Սոնա Երվանդի Գաբրիելյան,դասախոս/ժամավճարով,/user/3858
Հայկ Առնակի Գասպարյան,դասախոս/ժամավճարով,/user/3333
Ալբերտ Ռուբենի Գևորգյան,դասախոս/ժամավճարով,/user/3853
Առնակ Սամվելի Դալալյան,դասախոս/ժամավճարով,/user/2881
Իրինա Էդուարդի Դանիելյան,դասախոս/ժամավճարով,/user/4027
Հրաչյա Արսենի Դանիելյան,դասախոս/ժամավճարով,/user/4023
Վարդուհի Վլադիմիրի Եղիազարյան,դասախոս/ժամավճարով,/user/3939
Արտյոմ Օթելլոյի Զաքարյան,դասախոս/ժամավճարով,/user/3477
Անի Լևոնի Խաչատրյան,դասախոս/ժամավճարով,/user/2718
Լինդա Ալբերտի Խաչատրյան,դասախոս/ժամավճարով,/user/4046
Նարեկ Նաիրիի Կարապետյան,դասախոս/ժամավճարով,/user/3792
Նիկոլայ Վյաչեսլավի Կարպով,դասախոս/ժամավճարով,/user/3638
Մարկ Կարենի Համազասպյան,դասախոս/ժամավճարով,/user/3590
Գոռ Նորայրի Հայրապետյան,դասախոս/ժամավճարով,/user/131
Սարգիս Անդրեասի Հովհաննիսյան,դասախոս/ժամավճարով,/user/3060
Վահան Հակոբի Հուրոյան,դասախոս/ժամավճարով,/user/3063
Անահիտ Գևորգի Մարտիրոսյան,դասախոս/ժամավճարով,/user/3987
Վահան Արթուրի Մարտիրոսյան,դասախոս/ժամավճարով,/user/4083
Վահագն Աշոտի Մելիք-Փարսադանյան,դասախոս/ժամավճարով,/user/3163
Զարուհի Սարգսի Միքայելյան,դասախոս/ժամավճարով,/user/2467
Վազգեն Գագիկի Միքայելյան,դասախոս/ժամավճարով,/user/2663
Վահրամ Թորգոմի Նալչաջյան,դասախոս/ժամավճարով,/user/3182
Շանթ Խաչատուրի Նավասարդյան,դասախոս/ժամավճարով,/user/2750
Դավիթ Արթուրի Շահնազարյան,դասախոս/ժամավճարով,/user/2802
Արեգա Հարությունի Պռազյան,դասախոս/ժամավճարով,/user/3831
Նշան Ալեքսանի Փոթիկյան,դասախոս/ժամավճարով,/user/2930
Եկատերինա Կարենի Օսիպովա,դասախոս/ժամավճարով,/user/3948
Արա Անդրանիկի Ավետիսյան,Դասախոս,/user/2640
Ելենա Արկադիի Գևորգյան,Դասախոս,/user/3087
Գոհար Արտակի Թադևոսյան,Դասախոս,/user/3829
Ալիսա Արմենի Թանյան,Դասախոս,/user/3827
Եպրաքսյա Ռուբիկի Իսրաելյան,Դասախոս,/user/3086
Արշալույս Դերենիկի Հարությունյան,Դասախոս,/user/2726
Հռիփսիմե Օնիկի Հարությունյան,Դասախոս,/user/132
Սուսաննա Վեմիրի Ղազարյան,Դասախոս,/user/203
Աիդա Արտյոմի Միրումյան,Դասախոս,/user/3828
Վարդան Արարատի Մնացականյան,Դասախոս,/user/2697
Հասմիկ Արմենի Նազարյան,Դասախոս,/user/3309
Նարինե Բագրատի Պետրոսյան,Դասախոս,/user/3833
Անուշ Արարատի Վարդանյան,Դասախոս,/user/214
Բաբկեն Ռուբիկի Փաշինյան,Դասախոս,/user/3310
Սերգեյ Արծրունու Քոչարյան,Դասախոս,/user/3328
Ջուլիետա Զոհրաբի Բոյաջյան,Վարչարարության մասնագետ,/user/3076
Տաթևիկ Արմենի Դավթյան,Վարչարարության մասնագետ,/user/3880
Լուսինե Միքայելի Հակոբյան,Վարչարարության մասնագետ,/user/1339
Տիգրանուհի Կարապետի Հովհաննիսյան,Վարչարարության մասնագետ,/user/3104
Արաքս Հրայրի Մարգարյան,Վարչարարության մասնագետ,/user/52
Լուսինե Աշոտի Ռաշոյան,Վարչարարության մասնագետ,/user/988
Արմինե Հրաչիկի Օհանյան,Վարչարարության մասնագետ,/user/3080
